codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
59,45609,PPPJN,REGULAR,AVIÃO,EMBRAER,ERJ 190-100 LR,E190,JATO,BIMOTOR,50300,50300,112.0,2011.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
60,45610,PPGGK,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1992.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO SOLO,INSTRUÇÃO,LEVE,0
61,45611,N954AR,,AVIÃO,MCDONNELL DOUGLAS,MD-11F,,JATO,TRIMOTOR,285990,285990,0.0,1992.0,AVIÃO,,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,,NENHUM,0
62,45612,PPGMG,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1992.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,NENHUM,0
63,45618,PPHMF,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1REBOCADOR,PAUL,PISTÃO,MONOMOTOR,520,520,1.0,1962.0,AVIÃO,INSTRUÇÃO,BLUMENAU,BLUMENAU,VOO A BAIXA ALTURA,INSTRUÇÃO,SUBSTANCIAL,0
64,45619,PUGCP,EXPERIMENTAL,ULTRALEVE,,FENIX 0202,ULAC,PISTÃO,MONOMOTOR,470,470,2.0,1990.0,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,EXPERIMENTAL,SUBSTANCIAL,0
65,45624,PTXLI,TÁXI AÉREO,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,7711,7711,10.0,1980.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,NENHUM,0
66,45625,PTEVP,PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,2073,6.0,1979.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
67,45647,PRLDG,TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2009.0,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,NENHUM,0
68,45651,PPCIE,,AVIÃO,CIRRUS DESIGN,SR20,SR20,PISTÃO,MONOMOTOR,1315,1315,4.0,2000.0,AVIÃO,PARTICULAR,AEROPORTO ESTADUAL DE JUNDIAÍ,AEROPORTO ESTADUAL DE JUNDIAÍ,CRUZEIRO,PRIVADA,LEVE,0
